dim2_type,dim2_code,dimension2_type,dimension2_code
sa2,158501,SA2,158501
sa2,158601,SA2,158601
sa2,158700,SA2,158700
sa2,158800,SA2,158800
sa2,158900,SA2,158900
sa2,159000,SA2,159000
sa2,159101,SA2,159101
sa2,159201,SA2,159201
sa2,159202,SA2,159202
sa2,159301,SA2,159301
sa2,159401,SA2,159401
sa2,159500,SA2,159500
sa2,159600,SA2,159600
sa2,159801,SA2,159801
sa2,160202,SA2,160202
sa2,161300,SA2,161300
sa2,161400,SA2,161400
sa2,161500,SA2,161500
sa2,161600,SA2,161600
sa2,161700,SA2,161700
sa2,161800,SA2,161800
sa2,161900,SA2,161900
sa2,162000,SA2,162000
sa2,162101,SA2,162101
sa2,162102,SA2,162102
sa2,162200,SA2,162200
sa2,162300,SA2,162300
sa2,162400,SA2,162400
sa2,162500,SA2,162500
sa2,162601,SA2,162601
sa2,162602,SA2,162602
sa2,162701,SA2,162701
sa2,162901,SA2,162901
sa2,163001,SA2,163001
sa2,163302,SA2,163302
sa2,164500,SA2,164500
sa2,164601,SA2,164601
sa2,164700,SA2,164700
sa2,164800,SA2,164800
sa2,164900,SA2,164900
sa2,165001,SA2,165001
sa2,165101,SA2,165101
sa2,165200,SA2,165200
sa2,165301,SA2,165301
sa2,165302,SA2,165302
sa2,165400,SA2,165400
sa2,165501,SA2,165501
sa2,165502,SA2,165502
sa2,165600,SA2,165600
sa2,165700,SA2,165700
sa2,165901,SA2,165901
sa2,167300,SA2,167300
sa2,167400,SA2,167400
sa2,167600,SA2,167600
sa2,167700,SA2,167700
sa2,167800,SA2,167800
sa2,167900,SA2,167900
sa2,168001,SA2,168001
sa2,168101,SA2,168101
sa2,168200,SA2,168200
sa2,168300,SA2,168300
sa2,168400,SA2,168400
sa2,168501,SA2,168501
sa2,168502,SA2,168502
sa2,168600,SA2,168600
sa2,168701,SA2,168701
sa2,168901,SA2,168901
sa2,170300,SA2,170300
sa2,170400,SA2,170400
sa2,170600,SA2,170600
sa2,170700,SA2,170700
sa2,170901,SA2,170901
sa2,171101,SA2,171101
sa2,171201,SA2,171201
sa2,171300,SA2,171300
sa2,171400,SA2,171400
sa2,171501,SA2,171501
sa2,171502,SA2,171502
sa2,171601,SA2,171601
sa2,171700,SA2,171700
sa2,171801,SA2,171801
sa2,171803,SA2,171803
sa2,171901,SA2,171901
sa2,172001,SA2,172001
sa2,173400,SA2,173400
sa2,173500,SA2,173500
sa2,173600,SA2,173600
sa2,173700,SA2,173700
sa2,173801,SA2,173801
sa2,173901,SA2,173901
sa2,174001,SA2,174001
sa2,174100,SA2,174100
sa2,174200,SA2,174200
sa2,139300,SA2,139300
sa2,139400,SA2,139400
sa2,139501,SA2,139501
sa2,139601,SA2,139601
sa2,139700,SA2,139700
sa2,139801,SA2,139801
sa2,139802,SA2,139802
sa2,141400,SA2,141400
sa2,141500,SA2,141500
sa2,141600,SA2,141600
sa2,141700,SA2,141700
sa2,141801,SA2,141801
sa2,141900,SA2,141900
sa2,142001,SA2,142001
sa2,142101,SA2,142101
sa2,142201,SA2,142201
sa2,142202,SA2,142202
sa2,142301,SA2,142301
sa2,142400,SA2,142400
sa2,142501,SA2,142501
sa2,142600,SA2,142600
sa2,142700,SA2,142700
sa2,142801,SA2,142801
sa2,142802,SA2,142802
sa2,142901,SA2,142901
sa2,144500,SA2,144500
